pais1;Source;pais2;Target;valor_exportacion;;
IRN;Iran, Islamic Republic of;PHL;Philippines;479853152.0;;
KOR;Korea, Republic of;PHL;Philippines;13306104.0;;
MYS;Malaysia;PHL;Philippines;113804104.0;;
NZL;New Zealand;PHL;Philippines;8113514.0;;
OMN;Oman;PHL;Philippines;177735008.0;;
QAT;Qatar;PHL;Philippines;98067480.0;;
SAU;Saudi Arabia;PHL;Philippines;693310080.0;;
SGP;Singapore;PHL;Philippines;3161810.0;;
THA;Thailand;PHL;Philippines;5242266.0;;
BLR;Belarus;POL;Poland;40124492.0;;
CZE;Czechia;POL;Poland;4838770.0;;
DEU;Germany;POL;Poland;2930.0;;
GBR;United Kingdom;POL;Poland;78692992.0;;
HUN;Hungary;POL;Poland;1819719.0;;
KAZ;Kazakstan;POL;Poland;48068448.0;;
LTU;Lithuania;POL;Poland;59473824.0;;
NOR;Norway;POL;Poland;19873422.0;;
SVK;Slovakia;POL;Poland;2851105.0;;
UKR;Ukraine;POL;Poland;16510768.0;;
USA;United States;POL;Poland;48256.0;;
ANS;#N/D;POL;Poland;1834136.0;;
AGO;Angola;PRT;Portugal;41760528.0;;
DNK;Denmark;PRT;Portugal;32287634.0;;
EGY;Egypt;PRT;Portugal;67318488.0;;
ESP;Spain;PRT;Portugal;1075.0;;
GBR;United Kingdom;PRT;Portugal;127797720.0;;
IRN;Iran, Islamic Republic of;PRT;Portugal;268266640.0;;
IRQ;Iraq;PRT;Portugal;137592576.0;;
ITA;Italy;PRT;Portugal;5617.0;;
MEX;Mexico;PRT;Portugal;122090032.0;;
NGA;Nigeria;PRT;Portugal;689660672.0;;
NOR;Norway;PRT;Portugal;87818584.0;;
RUS;Russia Federation;PRT;Portugal;45664224.0;;
SAU;Saudi Arabia;PRT;Portugal;301714240.0;;
SYR;Syrian Arab Republic;PRT;Portugal;19433932.0;;
ANS;#N/D;PRT;Portugal;202459.0;;
ARE;United Arab Emirates;SGP;Singapore;579888192.0;;
AUS;Australia;SGP;Singapore;837588608.0;;
AZE;Azerbaijan;SGP;Singapore;23209040.0;;
BRN;Brunei Darussalam;SGP;Singapore;110168936.0;;
CHN;China;SGP;Singapore;79004072.0;;
EGY;Egypt;SGP;Singapore;71546760.0;;
GBR;United Kingdom;SGP;Singapore;56162936.0;;
IDN;Indonesia;SGP;Singapore;442867104.0;;
IRN;Iran, Islamic Republic of;SGP;Singapore;229124192.0;;
IRQ;Iraq;SGP;Singapore;358092096.0;;
KAZ;Kazakstan;SGP;Singapore;4316224.0;;
KOR;Korea, Republic of;SGP;Singapore;37430284.0;;
KWT;Kuwait;SGP;Singapore;642939200.0;;
LBR;Liberia;SGP;Singapore;11201849.0;;
MHL;Marshall Islands;SGP;Singapore;1907250.0;;
MYS;Malaysia;SGP;Singapore;158139200.0;;
NGA;Nigeria;SGP;Singapore;3623352.0;;
OMN;Oman;SGP;Singapore;99045880.0;;
QAT;Qatar;SGP;Singapore;801847296.0;;
RUS;Russia Federation;SGP;Singapore;24371302.0;;
SAU;Saudi Arabia;SGP;Singapore;1973758336.0;;
THA;Thailand;SGP;Singapore;80015208.0;;
VNM;Vietnam;SGP;Singapore;511513344.0;;
YEM;Yemen;SGP;Singapore;153792848.0;;
ZAF;South Africa;SGP;Singapore;18117860.0;;
TWN;Taiwan, Province of China;SGP;Singapore;5819571.0;;
ANT;Netherlands Antilles;SLV;El Salvador;17978132.0;;
ECU;Ecuador;SLV;El Salvador;100294128.0;;
GTM;Guatemala;SLV;El Salvador;22975.0;;
MEX;Mexico;SLV;El Salvador;55228344.0;;
USA;United States;SLV;El Salvador;1230.0;;
VEN;Venezuela;SLV;El Salvador;38442600.0;;
BEL;Belgium;SWE;Sweden;68625.0;;
DEU;Germany;SWE;Sweden;388478144.0;;
DNK;Denmark;SWE;Sweden;674401792.0;;
EGY;Egypt;SWE;Sweden;52859784.0;;
EST;Estonia;SWE;Sweden;23394350.0;;
FRA;France;SWE;Sweden;7385.0;;
GBR;United Kingdom;SWE;Sweden;78191824.0;;
IRN;Iran, Islamic Republic of;SWE;Sweden;248533312.0;;
LVA;Latvia;SWE;Sweden;61174168.0;;
NGA;Nigeria;SWE;Sweden;57770948.0;;
NLD;Netherlands;SWE;Sweden;106410744.0;;
NOR;Norway;SWE;Sweden;1815407744.0;;
POL;Poland;SWE;Sweden;72637424.0;;
RUS;Russia Federation;SWE;Sweden;85160464.0;;
SAU;Saudi Arabia;SWE;Sweden;92672656.0;;
TUR;Turkey;SWE;Sweden;52341920.0;;
VEN;Venezuela;SWE;Sweden;120553120.0;;
AGO;Angola;THA;Thailand;18726978.0;;
ARE;United Arab Emirates;THA;Thailand;1180901504.0;;
AUS;Australia;THA;Thailand;75862312.0;;
BRN;Brunei Darussalam;THA;Thailand;456712736.0;;
CHN;China;THA;Thailand;103532928.0;;
ESP;Spain;THA;Thailand;3187.0;;
IDN;Indonesia;THA;Thailand;87166088.0;;
IRN;Iran, Islamic Republic of;THA;Thailand;146413728.0;;
IRQ;Iraq;THA;Thailand;201047120.0;;
KWT;Kuwait;THA;Thailand;228579888.0;;
MYS;Malaysia;THA;Thailand;459858944.0;;
NGA;Nigeria;THA;Thailand;20073676.0;;
OMN;Oman;THA;Thailand;948084288.0;;
PAK;Pakistan;THA;Thailand;9347487.0;;
QAT;Qatar;THA;Thailand;207493520.0;;
SAU;Saudi Arabia;THA;Thailand;523173504.0;;
TLS;Timor-Leste;THA;Thailand;10058681.0;;
VNM;Vietnam;THA;Thailand;28653152.0;;
YEM;Yemen;THA;Thailand;631880704.0;;
ZAF;South Africa;THA;Thailand;14257594.0;;
BRA;Brazil;TTO;Trinidad and Tobago;17762440.0;;
BRB;Barbados;TTO;Trinidad and Tobago;14571678.0;;
COL;Colombia;TTO;Trinidad and Tobago;203654688.0;;
ECU;Ecuador;TTO;Trinidad and Tobago;14319785.0;;
FRA;France;TTO;Trinidad and Tobago;132725.0;;
GAB;Gabon;TTO;Trinidad and Tobago;97030560.0;;
SUR;Suriname;TTO;Trinidad and Tobago;35612160.0;;
USA;United States;TTO;Trinidad and Tobago;2304.0;;
VEN;Venezuela;TTO;Trinidad and Tobago;534119104.0;;
AZE;Azerbaijan;TUR;Turkey;5547636.0;;
DZA;Algeria;TUR;Turkey;9271328.0;;
EGY;Egypt;TUR;Turkey;29181180.0;;
GEO;Georgia;TUR;Turkey;6306220.0;;
IDN;Indonesia;TUR;Turkey;7893676.0;;
IRN;Iran, Islamic Republic of;TUR;Turkey;607757440.0;;
KAZ;Kazakstan;TUR;Turkey;116009960.0;;
LBY;Libyan Arab Jamahiriya;TUR;Turkey;707884608.0;;
RUS;Russia Federation;TUR;Turkey;265341792.0;;
SAU;Saudi Arabia;TUR;Turkey;651043712.0;;
SYR;Syrian Arab Republic;TUR;Turkey;451283392.0;;
ANS;#N/D;TUR;Turkey;861792000.0;;
ANT;Netherlands Antilles;USA;United States;7917920.0;;
ARE;United Arab Emirates;USA;United States;24240068.0;;
ARG;Argentina;USA;United States;468830304.0;;
AUS;Australia;USA;United States;475073824.0;;
BOL;Bolivia;USA;United States;6694138.0;;
BRA;Brazil;USA;United States;47508132.0;;
BRN;Brunei Darussalam;USA;United States;168694976.0;;
CHN;China;USA;United States;349191232.0;;
CIV;Cote d'Ivoire;USA;United States;19738746.0;;
CMR;Cameroon;USA;United States;69410984.0;;
COD;Congo, The Democratic Republic of ;USA;United States;151867840.0;;
COG;Congo;USA;United States;295684896.0;;
DEU;Germany;USA;United States;17483392.0;;
DNK;Denmark;USA;United States;76573096.0;;
DZA;Algeria;USA;United States;10921028.0;;
ECU;Ecuador;USA;United States;906969152.0;;
EGY;Egypt;USA;United States;32166062.0;;
ESP;Spain;USA;United States;24294560.0;;
EST;Estonia;USA;United States;4814442.0;;
FRA;France;USA;United States;22428.0;;
GAB;Gabon;USA;United States;1801678464.0;;
GNQ;Equatorial Guinea;USA;United States;90447792.0;;
GTM;Guatemala;USA;United States;144651936.0;;
IDN;Indonesia;USA;United States;345907648.0;;
IRN;Iran, Islamic Republic of;USA;United States;24134394.0;;
KAZ;Kazakstan;USA;United States;23456716.0;;
KOR;Korea, Republic of;USA;United States;17350.0;;
LTU;Lithuania;USA;United States;1674310.0;;
MYS;Malaysia;USA;United States;293507968.0;;
NZL;New Zealand;USA;United States;13067367.0;;
OMN;Oman;USA;United States;14105445.0;;
PER;Peru;USA;United States;28753120.0;;
RUS;Russia Federation;USA;United States;62819504.0;;
SGP;Singapore;USA;United States;3189162.0;;
THA;Thailand;USA;United States;26068402.0;;
TTO;Trinidad and Tobago;USA;United States;404859552.0;;
VNM;Vietnam;USA;United States;73414488.0;;
YEM;Yemen;USA;United States;203740160.0;;
ZAF;South Africa;USA;United States;8536.0;;
ABW;Aruba;VEN;Venezuela;5666646.0;;
ANT;Netherlands Antilles;VEN;Venezuela;32210448.0;;
BOL;Bolivia;VEN;Venezuela;1094.0;;
CHL;Chile;VEN;Venezuela;1367.0;;
COL;Colombia;VEN;Venezuela;2309.0;;
ECU;Ecuador;VEN;Venezuela;2150178.0;;
FRA;France;VEN;Venezuela;9934.0;;
NGA;Nigeria;VEN;Venezuela;83755360.0;;
NLD;Netherlands;VEN;Venezuela;12890.0;;
PAN;Panama;VEN;Venezuela;6137.0;;
USA;United States;VEN;Venezuela;4215057.0;;
IDN;Indonesia;VNM;Vietnam;27027282.0;;
THA;Thailand;VNM;Vietnam;6101397.0;;
AGO;Angola;TWN;Taiwan, Province of China;240241600.0;;
ARE;United Arab Emirates;TWN;Taiwan, Province of China;403142560.0;;
AUS;Australia;TWN;Taiwan, Province of China;559187008.0;;
CHN;China;TWN;Taiwan, Province of China;16659965.0;;
CMR;Cameroon;TWN;Taiwan, Province of China;268063904.0;;
COG;Congo;TWN;Taiwan, Province of China;550803072.0;;
CYM;Cayman Islands;TWN;Taiwan, Province of China;14372990.0;;
DZA;Algeria;TWN;Taiwan, Province of China;24065228.0;;
IDN;Indonesia;TWN;Taiwan, Province of China;218176208.0;;
IRN;Iran, Islamic Republic of;TWN;Taiwan, Province of China;1412878976.0;;
IRQ;Iraq;TWN;Taiwan, Province of China;204639152.0;;
ISR;Israel;TWN;Taiwan, Province of China;97637.0;;
ITA;Italy;TWN;Taiwan, Province of China;21540710.0;;
KWT;Kuwait;TWN;Taiwan, Province of China;661081728.0;;
MYS;Malaysia;TWN;Taiwan, Province of China;95738936.0;;
NGA;Nigeria;TWN;Taiwan, Province of China;323019776.0;;
NOR;Norway;TWN;Taiwan, Province of China;27877594.0;;
OMN;Oman;TWN;Taiwan, Province of China;373034688.0;;
SDN;Sudan;TWN;Taiwan, Province of China;74218304.0;;
THA;Thailand;TWN;Taiwan, Province of China;5337080.0;;
USA;United States;TWN;Taiwan, Province of China;255295.0;;
VNM;Vietnam;TWN;Taiwan, Province of China;17429400.0;;
YEM;Yemen;TWN;Taiwan, Province of China;44130152.0;;
EGY;Egypt;ARE;United Arab Emirates;18356090.0;;
IDN;Indonesia;ARE;United Arab Emirates;13688615.0;;
NGA;Nigeria;ARE;United Arab Emirates;7130.0;;
KAZ;Kazakstan;AZE;Azerbaijan;235976.0;;
TKM;Turkmenistan;AZE;Azerbaijan;13365700.0;;
ARE;United Arab Emirates;BGD;Bangladesh;2000.0;;
LBR;Liberia;BGD;Bangladesh;272407.0;;
SAU;Saudi Arabia;BGD;Bangladesh;73858368.0;;
SGP;Singapore;BGD;Bangladesh;166272.0;;
ANS;#N/D;BGD;Bangladesh;7617202.0;;
RUS;Russia Federation;BLR;Belarus;929996096.0;;
EGY;Egypt;CYP;Cyprus;10400731.0;;
GEO;Georgia;CYP;Cyprus;333453.0;;
RUS;Russia Federation;CYP;Cyprus;447766176.0;;
SYR;Syrian Arab Republic;CYP;Cyprus;95355576.0;;
CIV;Cote d'Ivoire;GHA;Ghana;3644425.0;;
NGA;Nigeria;GHA;Ghana;288830272.0;;
ISR;Israel;HUN;Hungary;34546.0;;
RUS;Russia Federation;HUN;Hungary;661807168.0;;
IRQ;Iraq;JOR;Jordan;526278.0;;
RUS;Russia Federation;KAZ;Kazakstan;48051396.0;;
ARE;United Arab Emirates;KEN;Kenya;190039952.0;;
CHN;China;KEN;Kenya;11534093.0;;
SAU;Saudi Arabia;KEN;Kenya;26407996.0;;
ZAF;South Africa;KEN;Kenya;1628.0;;
TJK;Tajikistan;KGZ;Kyrgyzstan;223468.0;;
TKM;Turkmenistan;KGZ;Kyrgyzstan;2124075.0;;
UZB;Uzbekistan;KGZ;Kyrgyzstan;2573289.0;;
ARE;United Arab Emirates;LKA;Sri Lanka;21540810.0;;
IRN;Iran, Islamic Republic of;LKA;Sri Lanka;103453536.0;;
MYS;Malaysia;LKA;Sri Lanka;87688368.0;;
SAU;Saudi Arabia;LKA;Sri Lanka;63827472.0;;
DEU;Germany;LVA;Latvia;5887.0;;
EST;Estonia;LVA;Latvia;213398.0;;
RUS;Russia Federation;LVA;Latvia;17090138.0;;
ARE;United Arab Emirates;NZL;New Zealand;148366848.0;;
ARG;Argentina;NZL;New Zealand;34989788.0;;
AUS;Australia;NZL;New Zealand;77896304.0;;
GBR;United Kingdom;NZL;New Zealand;12009171.0;;
IDN;Indonesia;NZL;New Zealand;3269751.0;;
KWT;Kuwait;NZL;New Zealand;15924542.0;;
MAR;Morocco;NZL;New Zealand;16818748.0;;
MYS;Malaysia;NZL;New Zealand;95652336.0;;
NGA;Nigeria;NZL;New Zealand;27092378.0;;
OMN;Oman;NZL;New Zealand;65363708.0;;
PAN;Panama;NZL;New Zealand;10413739.0;;
PNG;Papua New Guinea;NZL;New Zealand;13288264.0;;
QAT;Qatar;NZL;New Zealand;46110332.0;;
SAU;Saudi Arabia;NZL;New Zealand;205044304.0;;
DEU;Germany;OMN;Oman;847.0;;
BLR;Belarus;RUS;Russia Federation;57190.0;;
CHN;China;RUS;Russia Federation;105131.0;;
FIN;Finland;RUS;Russia Federation;2959.0;;
KAZ;Kazakstan;RUS;Russia Federation;422656992.0;;
CZE;Czechia;SVK;Slovakia;7244779.0;;
KAZ;Kazakstan;SVK;Slovakia;7824921.0;;
RUS;Russia Federation;SVK;Slovakia;792719424.0;;
DZA;Algeria;SVN;Slovenia;8455235.0;;
HRV;Croatia;SVN;Slovenia;4406771.0;;
RUS;Russia Federation;SVN;Slovenia;6761286.0;;
IRQ;Iraq;TUN;Tunisia;28593168.0;;
LBY;Libyan Arab Jamahiriya;TUN;Tunisia;206698032.0;;
NLD;Netherlands;TUN;Tunisia;1215.0;;
ANS;#N/D;TUN;Tunisia;9018124.0;;
EST;Estonia;UKR;Ukraine;7759.0;;
KAZ;Kazakstan;UKR;Ukraine;261057552.0;;
RUS;Russia Federation;UKR;Ukraine;611174016.0;;
AGO;Angola;ARG;Argentina;12448188.0;;
BOL;Bolivia;ARG;Argentina;880989.0;;
BRA;Brazil;ARG;Argentina;8832064.0;;
CIV;Cote d'Ivoire;ARG;Argentina;39625144.0;;
COG;Congo;ARG;Argentina;8895281.0;;
COL;Colombia;ARG;Argentina;7158742.0;;
DZA;Algeria;ARG;Argentina;10248151.0;;
ECU;Ecuador;ARG;Argentina;9373602.0;;
ITA;Italy;ARG;Argentina;15920304.0;;
NGA;Nigeria;ARG;Argentina;156732656.0;;
USA;United States;ARG;Argentina;3901.0;;
ARE;United Arab Emirates;AUS;Australia;398310848.0;;
ARG;Argentina;AUS;Australia;11082936.0;;
BRN;Brunei Darussalam;AUS;Australia;138531728.0;;
CHN;China;AUS;Australia;39055132.0;;
GBR;United Kingdom;AUS;Australia;5793.0;;
IDN;Indonesia;AUS;Australia;481730560.0;;
IRQ;Iraq;AUS;Australia;62589716.0;;
KWT;Kuwait;AUS;Australia;19299258.0;;
MYS;Malaysia;AUS;Australia;354186400.0;;
NGA;Nigeria;AUS;Australia;15408026.0;;
NZL;New Zealand;AUS;Australia;190098016.0;;
OMN;Oman;AUS;Australia;28722686.0;;
PNG;Papua New Guinea;AUS;Australia;482134208.0;;
QAT;Qatar;AUS;Australia;11340971.0;;
SAU;Saudi Arabia;AUS;Australia;377500256.0;;
THA;Thailand;AUS;Australia;99825984.0;;
TLS;Timor-Leste;AUS;Australia;18132092.0;;
USA;United States;AUS;Australia;126894.0;;
VNM;Vietnam;AUS;Australia;1096735232.0;;
YEM;Yemen;AUS;Australia;32276800.0;;
ZAF;South Africa;AUS;Australia;25131912.0;;
MEX;Mexico;CIV;Cote d'Ivoire;5082930.0;;
NGA;Nigeria;CIV;Cote d'Ivoire;687154112.0;;
VEN;Venezuela;CIV;Cote d'Ivoire;25213826.0;;
GNQ;Equatorial Guinea;CMR;Cameroon;21336718.0;;
NGA;Nigeria;CMR;Cameroon;272636416.0;;
FRA;France;GAB;Gabon;1517.0;;
BEL;Belgium;LUX;Luxembourg;2262.0;;
DEU;Germany;LUX;Luxembourg;6560.0;;
ITA;Italy;LUX;Luxembourg;5909.0;;
IRN;Iran, Islamic Republic of;MAR;Morocco;237656896.0;;
IRQ;Iraq;MAR;Morocco;405843360.0;;
RUS;Russia Federation;MAR;Morocco;53884384.0;;
SAU;Saudi Arabia;MAR;Morocco;355098720.0;;
CHN;China;MLI;Mali;6315.0;;
FRA;France;MLI;Mali;7518.0;;
NGA;Nigeria;MLI;Mali;6580.0;;
SEN;Senegal;MLI;Mali;4373004.0;;
QAT;Qatar;MOZ;Mozambique;8982820.0;;
ZAF;South Africa;MOZ;Mozambique;295728.0;;
DEU;Germany;NAM;Namibia;1931.0;;
ZAF;South Africa;NAM;Namibia;208914.0;;
CHN;China;NGA;Nigeria;11148153.0;;
SEN;Senegal;NGA;Nigeria;193547.0;;
ARG;Argentina;PRY;Paraguay;20926806.0;;
BOL;Bolivia;PRY;Paraguay;66429.0;;
ESP;Spain;PRY;Paraguay;281872.0;;
ZAF;South Africa;SWZ;Swaziland;1360779.0;;
SAU;Saudi Arabia;TZA;Tanzania, United Republic of;38475.0;;
ARG;Argentina;URY;Uruguay;10932352.0;;
GNB;Guinea-Bissau;URY;Uruguay;46889356.0;;
NGA;Nigeria;URY;Uruguay;51749156.0;;
RUS;Russia Federation;URY;Uruguay;35249052.0;;
VEN;Venezuela;URY;Uruguay;143896880.0;;
AGO;Angola;ZAF;South Africa;7597396.0;;
ARE;United Arab Emirates;ZAF;South Africa;72696256.0;;
AUS;Australia;ZAF;South Africa;21299650.0;;
BWA;Botswana;ZAF;South Africa;1564.0;;
IRN;Iran, Islamic Republic of;ZAF;South Africa;814964864.0;;
KWT;Kuwait;ZAF;South Africa;98773648.0;;
NAM;Namibia;ZAF;South Africa;159.0;;
NGA;Nigeria;ZAF;South Africa;182932464.0;;
QAT;Qatar;ZAF;South Africa;2854340.0;;
SAU;Saudi Arabia;ZAF;South Africa;1456052992.0;;
SWZ;Swaziland;ZAF;South Africa;1586.0;;
ZAF;South Africa;ZMB;Zambia;75303.0;;
ZAF;South Africa;ZWE;Zimbabwe;24317.0;;
MEX;Mexico;DOM;Dominican Republic;297914336.0;;
VEN;Venezuela;DOM;Dominican Republic;114574184.0;;
AZE;Azerbaijan;ISR;Israel;14520207.0;;
EGY;Egypt;ISR;Israel;71098344.0;;
MEX;Mexico;ISR;Israel;21865106.0;;
RUS;Russia Federation;ISR;Israel;218127008.0;;
USA;United States;ISR;Israel;21786.0;;
ANS;#N/D;ISR;Israel;1774001536.0;;
BRA;Brazil;LCA;Saint Lucia;48847536.0;;
VEN;Venezuela;LCA;Saint Lucia;12648133.0;;
TKM;Turkmenistan;MDA;Moldova, Republic of;881618.0;;
GEO;Georgia;ARM;Armenia;1028716.0;;
AZE;Azerbaijan;GEO;Georgia;15759470.0;;
RUS;Russia Federation;GEO;Georgia;89531.0;;
GBR;United Kingdom;HRV;Croatia;3891536.0;;
IRQ;Iraq;HRV;Croatia;91170448.0;;
KAZ;Kazakstan;HRV;Croatia;7734390.0;;
LBY;Libyan Arab Jamahiriya;HRV;Croatia;90876136.0;;
NGA;Nigeria;HRV;Croatia;25110192.0;;
RUS;Russia Federation;HRV;Croatia;202098928.0;;
SYR;Syrian Arab Republic;HRV;Croatia;49076756.0;;
YEM;Yemen;HRV;Croatia;13393884.0;;
CHE;Switzerland;LBY;Libyan Arab Jamahiriya;16366.0;;
GRC;Greece;MKD;Macedonia, The Former Yugoslav Republic Of;130829304.0;;
RUS;Russia Federation;MKD;Macedonia, The Former Yugoslav Republic Of;62719296.0;;
DZA;Algeria;MLT;Malta;74625256.0;;
CHN;China;PRK;Korea, Democratic People's Republic of;73945616.0;;
GAB;Gabon;PRK;Korea, Democratic People's Republic of;36890880.0;;
NGA;Nigeria;PRK;Korea, Democratic People's Republic of;31640872.0;;
QAT;Qatar;PRK;Korea, Democratic People's Republic of;32950400.0;;
THA;Thailand;PRK;Korea, Democratic People's Republic of;12339559.0;;
ISR;Israel;ROU;Romania;75073.0;;
KAZ;Kazakstan;ROU;Romania;207260336.0;;
RUS;Russia Federation;ROU;Romania;416677632.0;;
UKR;Ukraine;ROU;Romania;2691542.0;;
AZE;Azerbaijan;SCG;#N/D;3751836.0;;
IRQ;Iraq;SCG;#N/D;8643736.0;;
RUS;Russia Federation;SCG;#N/D;10306725.0;;
LBN;Lebanon;SYR;Syrian Arab Republic;23913.0;;
BOL;Bolivia;ANS;#N/D;22841.0;;
CMR;Cameroon;ANS;#N/D;56009964.0;;
COL;Colombia;ANS;#N/D;70017.0;;
DEU;Germany;ANS;#N/D;553.0;;
ECU;Ecuador;ANS;#N/D;38914260.0;;
OMN;Oman;ANS;#N/D;259451120.0;;
PNG;Papua New Guinea;ANS;#N/D;692244544.0;;
QAT;Qatar;ANS;#N/D;281012192.0;;
SEN;Senegal;ANS;#N/D;4857186.0;;
VEN;Venezuela;ANS;#N/D;280260000.0;;
VEN;Venezuela;ABW;Aruba;160058416.0;;
GBR;United Kingdom;ALB;Albania;1090.0;;
GRC;Greece;ALB;Albania;4461.0;;
HRV;Croatia;ALB;Albania;1958.0;;
ZAF;South Africa;BWA;Botswana;72176.0;;
USA;United States;HND;Honduras;113970.0;;
MEX;Mexico;JAM;Jamaica;94308840.0;;
USA;United States;JAM;Jamaica;6757.0;;
VEN;Venezuela;JAM;Jamaica;75955896.0;;
HND;Honduras;NIC;Nicaragua;3124.0;;
MEX;Mexico;NIC;Nicaragua;35533888.0;;
VEN;Venezuela;NIC;Nicaragua;146670608.0;;
DZA;Algeria;SUR;Suriname;17881852.0;;
USA;United States;SUR;Suriname;6139.0;;
BEL;Belgium;BDI;Burundi;2604.0;;
DEU;Germany;EST;Estonia;2878.0;;
KAZ;Kazakstan;EST;Estonia;209816.0;;
RUS;Russia Federation;EST;Estonia;137645520.0;;
ANS;#N/D;EST;Estonia;2841.0;;
DEU;Germany;GMB;Gambia;337.0;;
SEN;Senegal;GMB;Gambia;1054325.0;;
AZE;Azerbaijan;ISL;Iceland;31520294.0;;
KAZ;Kazakstan;ISL;Iceland;2412000.0;;
EST;Estonia;LTU;Lithuania;22961.0;;
GBR;United Kingdom;LTU;Lithuania;37313576.0;;
KAZ;Kazakstan;LTU;Lithuania;1976890.0;;
RUS;Russia Federation;LTU;Lithuania;867343744.0;;
IRN;Iran, Islamic Republic of;MDG;Madagascar;44328992.0;;
SAU;Saudi Arabia;MDG;Madagascar;11278464.0;;
ANS;#N/D;MDG;Madagascar;37832.0;;
ZAF;South Africa;MUS;Mauritius;7721.0;;
ZAF;South Africa;MWI;Malawi;22561.0;;
GAB;Gabon;SEN;Senegal;70442.0;;
NGA;Nigeria;SEN;Senegal;259646736.0;;
SEN;Senegal;TGO;Togo;331790.0;;
KEN;Kenya;UGA;Uganda;1164.0;;
GAB;Gabon;AGO;Angola;2329.0;;
NAM;Namibia;AGO;Angola;3674.0;;
ZAF;South Africa;AGO;Angola;51155.0;;
RUS;Russia Federation;BIH;Bosnia and Herzegovina;40095484.0;;
SCG;#N/D;BIH;Bosnia and Herzegovina;16038.0;;
MYS;Malaysia;BRN;Brunei Darussalam;45692328.0;;
ZAF;South Africa;COD;Congo, The Democratic Republic of ;3723.0;;
DNK;Denmark;FRO;Faroe Islands;2812.0;;
NGA;Nigeria;GNQ;Equatorial Guinea;5663772.0;;
DZA;Algeria;LBR;Liberia;13198839.0;;
RUS;Russia Federation;LBR;Liberia;11831013.0;;
SEN;Senegal;LBR;Liberia;2554601.0;;
ZAF;South Africa;LSO;Lesotho;44562908.0;;
MYS;Malaysia;MMR;Myanmar;143043344.0;;
THA;Thailand;MMR;Myanmar;50112.0;;
DEU;Germany;UZB;Uzbekistan;3025.0;;
RUS;Russia Federation;GIB;Gibraltar;210717856.0;;
KAZ;Kazakstan;VGB;Virgin Islands, British;1029109056.0;;
UKR;Ukraine;VGB;Virgin Islands, British;6012399.0;;
FRA;France;AND;Andorra;1252.0;;
KAZ;Kazakstan;BMU;Bermuda;1185798784.0;;
RUS;Russia Federation;BMU;Bermuda;92975320.0;;
TKM;Turkmenistan;BMU;Bermuda;19481610.0;;
THA;Thailand;LAO;Lao, People's Democratic Republic;234965.0;;
NGA;Nigeria;NRU;Nauru;26751966.0;;
AUS;Australia;PNG;Papua New Guinea;1924.0;;
UGA;Uganda;RWA;Rwanda;8694.0;;
ZAF;South Africa;SHN;Saint Helena;1104.0;;
KAZ;Kazakstan;SLB;Solomon Islands;1255000.0;;
SEN;Senegal;SLE;Sierra Leone;858034.0;;
USA;United States;TCA;Turks and Caicos Islands;14754.0;;
SEN;Senegal;GNB;Guinea-Bissau;796599.0;;
